symptoms,disease
"hoarseness, depression, heavy or irregular menstrual periods, puffy face, thinning hair, slowed heart rate, muscle aches, pain, stiffness or swelling in your joints, muscle weakness, dry skin, fatigue, constipation, weight gain",Hypothyroidism
"fatigue, headache, cold hands and feet, dizziness or lightheadedness, weakness, pale or yellowish skin, chest pain, shortness of breath",Anemia
"weight gain, fatigue",Hypothyroidism
"sweating, muscle pain, diarrhea",Malaria
pale or yellowish skin,Anemia
"numbness or tingling in the hands or feet, fatigue, unintended weight loss, increased thirst",Diabetes Type 2
"irregular heartbeats, cold hands and feet, fatigue, weakness",Anemia
"pain behind eyes, severe headache, skin rash, severe joint and muscle pain, vomiting, nausea",Dengue
headache,Anemia
"loss of appetite, rash, weakness, diarrhea or constipation, abdominal pain, sweating, dry cough, prolonged fever",Typhoid
"diarrhea or constipation, weight loss, prolonged fever, loss of appetite, rash, headache",Typhoid
"prolonged fever, weight loss",Typhoid
"headache, measured high fever, weakness, body ache, chills, loss of appetite, fatigue",Viral Fever
"chills, loss of appetite, weakness",Viral Fever
"diarrhea or constipation, headache",Typhoid
"heavy or irregular menstrual periods, tenderness and stiffness, puffy face, fatigue, pain, stiffness or swelling in your joints, constipation",Hypothyroidism
"diarrhea, fever with shaking chills, abdominal pain, anemia, headache, vomiting",Malaria
"mild headache, congestion, malaise, runny or stuffy nose, cough, low-grade fever",Common Cold
"fever with shaking chills, vomiting",Malaria
"loss of appetite, weight loss, abdominal pain, sweating, fatigue, prolonged fever, muscle ache, weakness, headache",Typhoid
measured high fever,Viral Fever
"slow-healing sores, frequent infections, fatigue, numbness or tingling in the hands or feet, areas of darkened skin",Diabetes Type 2
"increased sensitivity to cold, impaired memory, hoarseness, constipation, depression, dry skin, thinning hair, pain, stiffness or swelling in your joints, slowed heart rate, tenderness and stiffness, heavy or irregular menstrual periods, muscle aches, puffy face, fatigue, elevated blood cholesterol",Hypothyroidism
"nausea, sweating",Malaria
"mild headache, sneezing, low-grade fever, sore throat, runny or stuffy nose, congestion, slight body aches, cough",Common Cold
headache,Anemia
"fatigue, cold hands and feet",Anemia
"headache, vomiting, muscle pain, nausea",Malaria
"malaise, sore throat, sneezing, runny or stuffy nose",Common Cold
"slow-healing sores, numbness or tingling in the hands or feet, areas of darkened skin, increased hunger, frequent urination",Diabetes Type 2
"muscle weakness, hoarseness",Hypothyroidism
"mild headache, sore throat, malaise, low-grade fever, congestion, slight body aches",Common Cold
"fatigue, muscle ache, abdominal pain, rash, weakness, sweating, loss of appetite, diarrhea or constipation, headache, prolonged fever",Typhoid
"shortness of breath, dizziness or lightheadedness, headache, irregular heartbeats, pale or yellowish skin, cold hands and feet, fatigue, weakness, chest pain",Anemia
"prolonged fever, muscle ache",Typhoid
"frequent infections, slow-healing sores, increased thirst, numbness or tingling in the hands or feet",Diabetes Type 2
"weight gain, thinning hair",Hypothyroidism
weakness,Viral Fever
"fatigue, severe joint and muscle pain, mild bleeding, nausea",Dengue
"thinning hair, puffy face, depression, hoarseness, muscle weakness, impaired memory, elevated blood cholesterol, constipation, weight gain, slowed heart rate",Hypothyroidism
"headache, weakness",Viral Fever
"mild bleeding, pain behind eyes, severe joint and muscle pain, vomiting, severe headache, nausea",Dengue
runny or stuffy nose,Common Cold
"anemia, muscle pain, abdominal pain, vomiting",Malaria
"weakness, sweating, loss of appetite, rash, weight loss, abdominal pain, muscle ache, diarrhea or constipation, headache, fatigue",Typhoid
"weakness, fatigue",Viral Fever
"pale or yellowish skin, shortness of breath, cold hands and feet",Anemia
"weight loss, muscle ache, sweating, headache, abdominal pain, dry cough",Typhoid
"frequent urination, slow-healing sores, unintended weight loss, areas of darkened skin",Diabetes Type 2
"slow-healing sores, blurred vision, frequent infections, increased thirst, numbness or tingling in the hands or feet, increased hunger, unintended weight loss, areas of darkened skin",Diabetes Type 2
"slight body aches, runny or stuffy nose, sneezing, congestion, malaise, low-grade fever, cough, sore throat, mild headache",Common Cold
"increased thirst, unintended weight loss, numbness or tingling in the hands or feet, fatigue, frequent infections, frequent urination, slow-healing sores, increased hunger",Diabetes Type 2
"fatigue, pale or yellowish skin, cold hands and feet, irregular heartbeats, weakness",Anemia
"increased thirst, numbness or tingling in the hands or feet, fatigue, frequent urination, frequent infections",Diabetes Type 2
"irregular heartbeats, shortness of breath",Anemia
increased hunger,Diabetes Type 2
"low-grade fever, sore throat, cough",Common Cold
"increased sensitivity to cold, impaired memory, weight gain, thinning hair, fatigue, elevated blood cholesterol, muscle aches, puffy face, heavy or irregular menstrual periods, muscle weakness, depression",Hypothyroidism
"fatigue, mild bleeding, sudden high fever, pain behind eyes, severe headache, skin rash, nausea, vomiting",Dengue
"headache, weakness, chills",Viral Fever
"mild bleeding, nausea, vomiting, skin rash, severe joint and muscle pain, severe headache, fatigue, sudden high fever",Dengue
"rash, sweating, abdominal pain, loss of appetite, muscle ache, fatigue, dry cough, prolonged fever, weight loss, diarrhea or constipation, weakness, headache",Typhoid
"sore throat, low-grade fever, runny or stuffy nose",Common Cold
"depression, puffy face, hoarseness, muscle weakness, impaired memory, constipation, pain, stiffness or swelling in your joints, heavy or irregular menstrual periods, muscle aches, dry skin, fatigue, tenderness and stiffness, weight gain, slowed heart rate, elevated blood cholesterol",Hypothyroidism
"mild headache, sneezing, sore throat, cough, runny or stuffy nose, slight body aches",Common Cold
"congestion, slight body aches, runny or stuffy nose, low-grade fever, sneezing, malaise, cough, mild headache, sore throat",Common Cold
"slight body aches, sore throat, runny or stuffy nose, low-grade fever, mild headache",Common Cold
"fever with shaking chills, vomiting",Malaria
"low-grade fever, slight body aches, sneezing, congestion, runny or stuffy nose, sore throat, cough, mild headache",Common Cold
"fever with shaking chills, nausea, muscle pain, anemia",Malaria
"chest pain, headache, fatigue, dizziness or lightheadedness, shortness of breath",Anemia
"body ache, measured high fever, chills, weakness, loss of appetite, headache",Viral Fever
"fatigue, weakness, shortness of breath, cold hands and feet, headache, pale or yellowish skin, irregular heartbeats",Anemia
"fatigue, unintended weight loss, frequent infections, blurred vision, numbness or tingling in the hands or feet, areas of darkened skin, increased hunger, slow-healing sores, frequent urination",Diabetes Type 2
malaise,Common Cold
"dizziness or lightheadedness, pale or yellowish skin, shortness of breath, fatigue, chest pain, headache, weakness, cold hands and feet",Anemia
"body ache, weakness",Viral Fever
"muscle pain, vomiting, fever with shaking chills, sweating, anemia, abdominal pain",Malaria
"blurred vision, increased thirst, slow-healing sores, fatigue, numbness or tingling in the hands or feet, unintended weight loss, increased hunger, frequent urination, frequent infections, areas of darkened skin",Diabetes Type 2
"fatigue, pain behind eyes, sudden high fever, nausea",Dengue
"measured high fever, loss of appetite, fatigue, chills",Viral Fever
"nausea, diarrhea, anemia, muscle pain, headache, vomiting",Malaria
"pain, stiffness or swelling in your joints, muscle weakness, slowed heart rate, impaired memory, weight gain, elevated blood cholesterol, thinning hair, depression, dry skin, tenderness and stiffness, heavy or irregular menstrual periods, constipation, fatigue, hoarseness, puffy face",Hypothyroidism
"mild headache, congestion, cough, sore throat, slight body aches, malaise, low-grade fever",Common Cold
"fatigue, blurred vision, slow-healing sores, increased hunger, frequent infections, numbness or tingling in the hands or feet, unintended weight loss, increased thirst, areas of darkened skin, frequent urination",Diabetes Type 2
"congestion, sore throat, malaise, runny or stuffy nose",Common Cold
slight body aches,Common Cold
"prolonged fever, headache",Typhoid
"sudden high fever, fatigue, severe headache, vomiting, nausea, skin rash, severe joint and muscle pain",Dengue
"impaired memory, hoarseness, muscle aches, tenderness and stiffness, puffy face, pain, stiffness or swelling in your joints, dry skin, constipation, weight gain, muscle weakness, heavy or irregular menstrual periods, fatigue, increased sensitivity to cold, slowed heart rate",Hypothyroidism
"shortness of breath, chest pain, cold hands and feet, fatigue, weakness, irregular heartbeats, pale or yellowish skin, dizziness or lightheadedness",Anemia
"vomiting, sweating, muscle pain, anemia, nausea, abdominal pain, diarrhea",Malaria
"measured high fever, body ache, chills, headache, fatigue, loss of appetite",Viral Fever
"diarrhea or constipation, dry cough, sweating",Typhoid
"vomiting, headache, nausea, muscle pain, abdominal pain, diarrhea, anemia, fever with shaking chills",Malaria
"diarrhea or constipation, sweating, loss of appetite, rash, muscle ache, weakness",Typhoid
"muscle ache, prolonged fever, diarrhea or constipation",Typhoid
"severe headache, vomiting, pain behind eyes, nausea, sudden high fever",Dengue
skin rash,Dengue
"increased thirst, increased hunger, frequent infections, fatigue, numbness or tingling in the hands or feet, unintended weight loss, areas of darkened skin, blurred vision",Diabetes Type 2
"frequent urination, unintended weight loss, blurred vision, fatigue, slow-healing sores, areas of darkened skin, increased hunger, frequent infections, numbness or tingling in the hands or feet",Diabetes Type 2
"weakness, loss of appetite, body ache, measured high fever, chills",Viral Fever
